generic_name,atc_level_4_code,atc_level_4_name
Insulin Nph Human Isophane,A10AC,"Insulins and analogues for injection, intermediate-acting"
"Insulin Pen,reusable,bt Lispro",A10AB,"Insulins and analogues for injection, fast-acting"
"Insulin Pen,reusable,bt,aspart",A10AB,"Insulins and analogues for injection, fast-acting"
Interferon Beta-1a/Albumin,L03AB,Interferons
Levalbuterol Hcl,R03AC,Selective beta-2-adrenoreceptor agonists
Levalbuterol Tartrate,R03AC,Selective beta-2-adrenoreceptor agonists
Linezolid In 0.9% Sodium Chlor,J01XX,Other antibacterials
Magnesium Sulfate In Water,B05XA,Electrolyte solutions
Magnesium Sulfate/D5w,B05XA,Electrolyte solutions
"Measles,mumps,rubella Vacc/Pf",J07BD,Measles vaccines
"Mening Vac A,c,y,w-135 Dip/Pf",J07AH,Meningococcal vaccines
"Mening Vac A,c,y,w135,c-Tet/Pf",J07AH,Meningococcal vaccines
"Meningococcal B Vaccine,4-Comp",J07AH,Meningococcal vaccines
Meropenem-0.9% Sodium Chloride,J01DH,Carbapenems
Multivit 47/Iron/Folate 1/Dha,A11AA,Multivitamins with minerals
Multivit-Min69/Iron/Folic Acid,A11AA,Multivitamins with minerals
Multivit-Mins 25/Folic Acid/D3,A11AA,Multivitamins with minerals
Multivit-Mins60/Iron Fum/Folic,A11AA,Multivitamins with minerals
Multivit41/Iron/Folate8/Ps-Dha,A11AA,Multivitamins with minerals
Mv-Mins 71/Iron/Folic No.1/Dha,A11AA,Multivitamins with minerals
Mvn-Min75/Iron/Iron Ps/Om3/Dha,A11AA,Multivitamins with minerals
Mycophenolate Mofetil,L04AA,Selective immunosuppressants
Mycophenolate Mofetil Hcl,L04AA,Selective immunosuppressants
Mycophenolate Sodium,L04AA,Selective immunosuppressants
Netarsudil Mesylat/Latanoprost,S01EE,Prostaglandin analogues
Nirmatrelvir/Ritonavir,J05AE,Protease inhibitors
Oxycodone Myristate,N02AA,Natural opium alkaloids
"Pen Needle, Diabetic",V07AY,Other non-therapeutic auxiliary products
